INST_NAME,CITY,STATE
The University of the South,Sewanee,TN
Rhodes College,Memphis,TN
Soka University of America,Aliso Viejo,CA
Wheaton College,Wheaton,IL
St. Lawrence University,Canton,NY
Trinity University,San Antonio,TX
Wabash College,Crawfordsville,IN
Wofford College,Spartanburg,SC
Agnes Scott College,Decatur,GA
Gettysburg College,Gettysburg,PA
Virginia Military Institute,Lexington,VA
Gustavus Adolphus College,Saint Peter,MN
Reed College,Portland,OR
Thomas Aquinas College,Santa Paula,CA
Hobart and William Smith Colleges,Geneva,NY
Kalamazoo College,Kalamazoo,MI
Muhlenberg College,Allentown,PA
Bard College,Annandale on Hudson,NY
College of St. Benedict,Saint Joseph,MN
Lake Forest College,Lake Forest,IL
Allegheny College,Meadville,PA
The College of Wooster,Wooster,OH
Knox College,Galesburg,IL
Lawrence University,Appleton,WI
St. John's College,Annapolis,MD
Wheaton College,Norton,MA
Willamette University,Salem,OR
Juniata College,Huntingdon,PA
Saint Mary's College,Notre Dame,IN
St. John's University,Collegeville,MN
St. Mary's College of Maryland,Saint Marys City,MD
Beloit College,Beloit,WI
Stonehill College,Easton,MA
Ursinus College,Collegeville,PA
Saint Anselm College,Manchester,NH
Southwestern University,Georgetown,TX
University of Puget Sound,Tacoma,WA
Washington & Jefferson College,Washington,PA
Austin College,Sherman,TX
Drew University,Madison,NJ
Lewis & Clark College,Portland,OR
St. John's College,Santa Fe,NM
St. Norbert College,De Pere,WI
Washington College,Chestertown,MD
Whittier College,Whittier,CA
Antioch College,Yellow Springs,OH
Augustana College,Rock Island,IL
Earlham College,Richmond,IN
Hope College,Holland,MI
Morehouse College,Atlanta,GA
New College of Florida,Sarasota,FL
Sarah Lawrence College,Bronxville,NY
Linfield University,McMinnville,OR
Lycoming College,Williamsport,PA
Randolph-Macon College,Ashland,VA
Susquehanna University,Selinsgrove,PA
Westmont College,Santa Barbara,CA
Bennington College,Bennington,VT
Hanover College,Hanover,IN
Hendrix College,Conway,AR
Westminster College,New Wilmington,PA
Cornell College,Mount Vernon,IA
Hampden-Sydney College,Hampden-Sydney,VA
Luther College,Decorah,IA
Ohio Wesleyan University,Delaware,OH
Saint Michael's College,Colchester,VT
Hartwick College,Oneonta,NY
Massachusetts College of Liberal Arts,North Adams,MA
Transylvania University,Lexington,KY
Albion College,Albion,MI
Goucher College,Baltimore,MD
Hollins University,Roanoke,VA
Illinois College,Jacksonville,IL
Millsaps College,Jackson,MS
Saint Vincent College,Latrobe,PA
Monmouth College,Monmouth,IL
Coe College,Cedar Rapids,IA
Eckerd College,Saint Petersburg,FL
Meredith College,Raleigh,NC
Roanoke College,Salem,VA
University of Minnesota Morris,Morris,MN
Birmingham-Southern College,Birmingham,AL
Central College,Pella,IA
Covenant College,Lookout Mountain,GA
Centenary College,Shreveport,LA
Franklin College,Franklin,IN
Hampshire College,Amherst,MA
Presbyterian College,Clinton,SC
Purchase College,Purchase,NY
Salem College,Winston-Salem,NC
University of North Carolina Asheville,Asheville,NC
Albright College,Reading,PA
Concordia College,Moorhead,MN
Fisk University,Nashville,TN
Houghton University,Houghton,NY
Ripon College,Ripon,WI
University of New Hampshire,Manchester,NH
Emmanuel College,Boston,MA
Wells College,Aurora,NY
Wittenberg University,Springfield,OH
University of Mary Washington,Fredericksburg,VA
Aquinas College,Grand Rapids,MI
College of the Atlantic,Bar Harbor,ME
Wartburg College,Waverly,IA
Bethany Lutheran College,Mankato,MN
Claflin University,Orangeburg,SC
Dillard University,New Orleans,LA
Gordon College,Wenham,MA
Oglethorpe University,Atlanta,GA
Westminster College,Fulton,MO
Randolph College,Lynchburg,VA
University of Virginia,Wise,VA
Bridgewater College,Bridgewater,VA
Guilford College,Greensboro,NC
The King's College,New York,NY
Lyon College,Batesville,AR
University of Puerto Rico,Cayey,PR
Johnson C. Smith University,Charlotte,NC
Maryville College,Maryville,TN
Bryn Athyn College of the New Church,Bryn Athyn,PA
Marymount Manhattan College,New York,NY
Simpson University,Redding,CA
Virginia Wesleyan University,Virginia Beach,VA
Oakwood University,Huntsville,AL
Ouachita Baptist University,Arkadelphia,AR
Bennett College,Greensboro,NC
Sweet Briar College,Sweet Briar,VA
Tougaloo College,Tougaloo,MS
Ave Maria University,Ave Maria,FL
Cheyney University of Pennsylvania,Cheyney,PA
Medgar Evers College,Brooklyn,NY
Allen University,Columbia,SC
Bethany College,Bethany,WV
Bethune-Cookman University,Daytona Beach,FL
East-West University,Chicago,IL
Georgetown College,Georgetown,KY
Hebrew Theological College,Skokie,IL
Holy Cross College,Notre Dame,IN
Lane College,Jackson,TN
Martin University,Indianapolis,IN
Paine College,Augusta,GA
Pillar College,Newark,NJ
Providence Christian College,Pasadena,CA
Rust College,Holly Springs,MS
Southern Virginia University,Buena Vista,VA
University of Pittsburgh,Greensburg,PA
University of Science and Arts of Oklahoma,Chickasha,OK
Virginia Union University,Richmond,VA
Warren Wilson College,Asheville,NC
Young Harris College,Young Harris,GA
University of Houston--Clear Lake,Houston,TX
